messages,Training_Testing
No prob man,0
Restarted computer and everything is on there!,0
that black tar aint no junk to mess with,0
Can't,0
Sounds good,0
hen it was next to the toiley .in my bathroom wasnt gonna b a salty bitch plus all these text sucks to b ur bitch ass w,0
Ok thanks,0
You too babe.,0
K,0
"I know but this guy aint a rat, he just needs his fix of chiva",0
Iver heard that b4 lol. Seriously its not a big deal. I love you. Im not even trippin. ,0
"Oh, u was wondering why i never heard anything else.",0
Thank you! I'll snort a line to that,0
Do you have power today.,0
Her biological dad out in hyde park area,0
What's your address?,0
Top o the morning to ya,0
At a friends in chicago what u doing tomorrow?,0
I have enough tickets for all of you.,0
Thanks sweetie.,0
 gonna know my hand was all over loook in ur shit.but u wannt to from smith to me fucking jack like we both know thats a ,0
In chicago area,0
U funny boy,0
Keep me posted on Tom please. Prayers are continuing to pour in.,0
I don.t want to fight with anyone.i have problem. I cannot put anything together.friend camebuy and fix phonecell.a.a thankyou ,0
No thank you.,0
Incoming,0
Coke or pepsi is fine,0
Lol no prob,0
Yes,0
They were able to save most of it.,0
how much per joint? good quality?,0
Hello hey found out tonight its a girl.,0
Any plans?,0
Waiting at light,0
Yeeeha love new orleans love amy,0
Dont worry. Talk later.,0
Is wifi working in the building?,0
Just let me know what works for you. I have classes on tuesday and wednesday. Then on spring break.,0
"If not, go get one by the elevator.",0
"Great, i wanted to make donuts today.",0
15 minutes,0
"Hey cindy, I want to add your birthday to MyCalendar!",0
Happy Birthday Belinda. I hope you go out for drinks tonight.,0
Man what did you do. I will have student look over your ad account. When was the last time you were successful? hey only 16 min till 420!,0
"U guys are always welcome up here, very nice area. I'll probably be home on the weekends, next weekend fo sho",0
So we are aiming to be in Harrisburg area late tonight so that we can link up tomorrow. What time did u want to link up?,0
Yes.,0
Sorry dude. Hows it going?,0
Coo,0
Maybe. It could be a reference book that might prevent it from being able to be checked out.,0
Move the chart up towards the top edge,0
How do you know what they are giving? Checking the connectivity rate?,0
I am not sure. I have two weeks of classes left and i am behind. I will let you know soon.,0
How are things?,0
We still don't know where we are meeting you and we need to leave soon....,0
Chest still feels funny.  Been resting all day. I'll be better tomorrow,0
Okay so are we gonna make the video tomorrow?,0
No prob,0
Stop. Give him a kiss and let him reassure you of everything you are to him and for him. Heal before you have to leave again.,0
got any more vicodin,0
Yeah,0
I left the front door unlocked for you.,0
(2/2)I don't like making them and you suffer because she is too selfish to care about us.,0
Yes. Finished product picture coming soon. No lunch for me tomorrow.,0
Is it jst you and mom?,0
we are here,0
Love and best wishes to both of you.,0
"No, sorry",0
Now I hear he's telling Jack about my recommendation to cut his hours til he quits,0
You pass?,0
"Ok, i think I'll ask tim to.rise with Lisa and you and I will ride together. That will give us more room.",0
pure bliss with my shrooms,0
yeah so busy€ bad day to be recovering from a trip on acid,0
I'll check in about 10 minutes,0
"Looking for missing lock and lock containers. if you have any of my containers, please return them soon. I only have like three leftover size containers that i can find. I had many sets, now i have almost nothing. Thank you.",0
chicago station?,0
Were u still planning on bringing that over today or should we figure another time?,0
I'm still at work don't know how much longer...,0
Have ya left yet?,0
This line sucks lol,0
lcome to join us,0
Jill H. Farmer commented on your status:,0
Nce,0
"Between you & me only...saw the Dr. today, wants me to stop all activity, rest for two wks, ice & elevate...I was in such pain, I was crying, on new pain meds.",0
Lol nice,0
Any day really during the week cuz I'd do it at work,0
Homework lol,0
Cool. We are outside waiting for a table still.,0
Export as A3 or some other smaller paper type as a PDF. Print the PDF using adobe.,0
Ok.,0
And you eat it with chopsticks,0
"End up in urgent care, very dehyrated.",0
Oh no. I am so sorry.,0
Incoming,0
"Thank you, Monica. Happy Mother's day to you as well.",0
Incoming,0
Please call me if you are still at the store. The meat I brought was apparently rancid inside the sealed package.,0
Did you put subjects above and below the timeline if not do u think that it will not not look good if I did?,0
 gonna know my hand was all over loook in ur shit.but u wannt to from smith to me fucking jack like we both know thats a ,0
"I cloned it do it actually looks identical to the old system (only a much bigger drive), so she may not even realize what is different when she boots it up",0
"So, mindy said they can spend the night. Is this correct?",0
other group is sending some as well.,0
I am going to get mine together soon. I think Amanda found some. Sara is looking too.,0
I love u 2 baby i cant wait either,0
Wow,0
Nothin back in the room kids are laying down but said they wanna eat when they wake up,0
I have two cpap machines now.,0
Let's shoot for tomorrow,0
Rachel is going to u of c.,0
"Same here, any ideas?",0
I deleted this one,0
Not me.,0
"I think so. They are still painting at our house, so not sure when they will be done, probably within 1-2 hours.",0
he plotter,0
Thanks!!!,0
Rachel Lee Dobbs commented on your status:,0
I saw your changes to the power point. Just finished my work on the paper.,0
for me,0
Ok. Don't leave without me. What time again ?,0
Uh oh,0
Naw u flawless n a perfect mother i love our family 2 we r just missin 1 lil but im tha lucky 1 cuz im so blessed,0
Love you too. Tell mom i said hello and no running. It is too early for that.,0
Stop laughing.,0
Where are you? Jacks coat is in your office,0
Not yet.,0
Ok,0
Dunno yet,0
OK thanks,0
Think I may have found a way to sneak the laptop out of the house. I might be able to bring it by this evening. Will you be around?,0
Thank you brother.,0
Sweet,0
Chicken soup on the stove right now. Should be ready in a few hours. Definitely for dinner.,0
Sent an email today requesting your login id for dropbox. Did you see it? Is login id still username123 with the password password123,0
Are you at work?,0
Definitely. Count me in.,0
Max Rumplestiltskin commented on your status:,0
We will probably start the bonfire at 9pm,0
Yeah,0
Incoming,0
And it's free,0
Why?,0
swinging by soon,0
"Says, not saus. Ys,",0
"Visitation tuesday 4 to 7pm at funeral homes. Funeral 10:00 am funeral homes, burial at cemetery immediately after on highway.",0
I forgot to ask. Any chance you could keep the kids the 25th?,0
10 am sharp. At funeral home where mom was.,0
Robbing rway lmao.getting the scrap out to clean it tjhat.my mom.,0
(RE:)Can i slide thru,0
Lol then I'd end up going slower!,0
Yeah why?,0
Corn and rain. Or ring and cross? Rub down little love. I love both of you. K.i.s.s.,0
Hey just lettng u knw that i am hme safe,0
(1/2) O ya good luck at tha doc n my mouth is hurtin like  a bia ive been poppin pain meds aways out of our 1st aid kit at work o my jeebus but im checkn on my ,0
"oted me.  I'm gonna talk and see if I can make payments.  It has to get fixed.  Mom feels bad because she can't help but like I told her, that's not why",0
I'm here now let me know if it's cool to come in otherwise I'll be outside.,0
I can bring the van with no seats also,0
Coo,0
Yes,0
"Thx I'll be back in a few, having lunch with brian haha",0
Incoming,0
Larry Roper commented on your status:,0
And remind me again of where Rachellives,0
Ate you in class?,0
Me too. I have to eat all these ribs by myself. Amanda won't even help me. Too late to eat that heavy she says.,0
I got it,0
Does the diary command work for you in our code.,0
Just sent it. Whats up,0
who said I was coming by,0
K kewl,0
I understand. When you coming up to my new crib to visit?,0
At Mercy Hospital in Chicago waiting to get checked in.,0
"Had a big pizza earlier, where are ya thinken?",0
Thank u,0
K,0
"Ok, have a great day. Cya tomorrow",0
i tried to text and call earlier. i got kicked out of my dads and i'm at a hotel. i dont have internet. i'll be there tomorrow morning.,0
So maybe 7:30?,0
U got plans right now?,0
"Thank you Jill, you rock. Max signed off on my paper during a break.",0
K,0
Why do u ask?,0
Just recieved child support bill.for st.,0
thatês steep,0
"My login doesn't work on 192.168.4.4 arg, don't worry about it tonight",0
The available guys said they couldn't recreate the problem. It was 129 correct?,0
630,0
yeah those bath salts make ppl do crazy shit,0
of course,0
Lol crap,0
Yupp...I have to open :-/,0
Yeah prolly a good idea,0
Lemme know if u get it up... ill respond to emails,0
What do u gt tnght ,0
Yo where u guys at?,0
(2/2) u more stay sexy my love and lay off those tranqs!,0
Did u eat yet?,0
I think so. Towards the back of the train.,0
Bob do u know anyone or where someone could learn blues guitar? <Susie Smith>,0
"Ok cool, we'll be by soon",0
You tell me when. If it is last minute and burger king. I don't care. Just want to see you.,0
"Staying in chambersburg, pretty close",0
Lol great.,0
You used to catch that one~lol!  You are spoiled now!,0
I will and thanks,0
"thinks we lied to her about why he couldn't work wheaton as is, I don't need her coming to you asking why he needs to go.  There's a good chance she's gonna try",0
"Oki ambored and ready to go to casino, who else is ready?",0
Free T-Mobile Msg: We have canceled a line from your account as of 04/03/2012. For account details view the information on my.t-mobile.com.,0
Thanks....you find your pot???,0
I hope to be.,0
How far are you from the university? ,0
Oh ok,0
I worry about you. You are my BFF.,0
Coach said 530-830.,0
timew is out.,0
Ok see you soon,0
"Oooo, so you are gonna leave earlier? I may have to check on that",0
How do I shrink down the chart with out bringing down the font size? Right now it is 82 x 30 it's big,0
No still in mine,0
Hope so.,0
Nope no money till tomorrow haha,0
"Lol, yeah tell me about it, I am still in the dark out here too.... ",0
I heard,0
I drove all night. Jeff isn't coming until later.,0
"Hey Bob, sitting next to my dad, he's asking if u could stop by one of these days to take a look at comp one of thse days",0
Say a prayer for a mircle tonight and sarales cakesme to work i am geeting good at this art work,0
I was just getting ready to call u.its Jake.,0
Tom got under armour boxers for $10.00 a pair.,0
sure sounds fun,0
"Mostly papers for me, not really any tests",0
"Yes, we are. Much was said last night when i came home after taking Amanda home. Lucy actually left last night. Mom, Sara, Michael and I cleared the air in many aspects. Does not mean things are better, but conversations that needed to be said. How is michelle? I hope your Easter is pleasant and relaxing as well. Sorry you had to witness the outbursts yesterday. I am so sorry you were forced to witness such immaturity under the given circumstances. I apologize for my families actions. It was inappropriate.",0
Hey Nick's birthday is tomorrow.,0
?,0
Let me know and I could take lunch break with you,0
I didn't say anything!!!! Geez!!!,0
"I will be in aurora till about 8:30, so free after that",0
Totally forgot to check ;),0
Outgoing,0
Tomorrow 2:30 pm bldg A rm 22,0
Will u keep eye on mindy. I am going to get cat food.,0
I c noreport,0
Yes,0
timmy is on his way to our house.,0
K,0
Pictures at mccormick center at :45 tomorrow.,0
No,0
I'm guessen,0
Sweet I think it is only going to be you and me unless u know of anyone else that would like to go?,0
My friend with the breast cancer has a cancer polyp~ not good,0
"I can also smoke heroin, which is also called smack or horse",0
On our way home,0
Ok. Just need to mention it before it pisses me off and we fight.,0
Yes :/,0
Ok will do,0
Kewl,0
Stacy Rayez commented on your status:,0
Hang on,0
"Yeah, susie was here earlier too",0
Tom's mom passed away yesterday. Visitation is Saturday @ 3-8pm.,0
Are you in yet?,0
here,0
"Send em my way, entertainment",0
haha im totally amped right now,0
How late is she going?,0
Out,0
"It's ok, I got beer!!   J/k",0
Happy Easter,0
Samantha has not called anyone.,0
Ok I'll talk to u then thanks for the help,0
Sitting in bar,0
"No prob, he probably won't get here for another 20 minutes or so, and we might just walk over",0
Ok,0
Tell amber I said Hi!,0
My spell check. Should say BFF too,0
Amazon Appstore: Get the Amazon Appstore: https://www.amazon.com/app-sms. Reply HELP for help.Msg&data rates may apply,0
Sweet! ,0
Sounds good,0
"Hi, what u upto. SMile",0
I got your voice mail.,0
"Lol, I ll come get one tomorrow.",0
I'm getting off in 25mins. Are there still alot of people at your house?,0
K if nt u wnt to meet at bdubs in chicago,0
A guy here said u can even take over his lease if u wanted,0
"I already wrote u one, what did u do with it?",0
Lock out starts in the morning. jane is sleeping in the livingroom.,0
Soccer game at 1:30 today. Same place.,0
Call work.,0
Lol I'm at three brothers and we are going to beer:thirty after this! Meet us up lol,0
Ok,0
ies with all the home invasion going on.  Plus me call her when she was getting out of the shower didn't help.  So to fix my truck $1000 to $1500 Jill qu,0
$90 am hour lol,0
We r at sox game,0
"I can't get into my computer, jack is going to assist when he gets in, so probably about 8:30 (he will be there at 8). Sorry :/",0
Heading back,0
HAPPY BIRTHDAY TO YOU! MUAH AND A GREAT BIG HUG FROM YOUR OLDER SIS!,0
"Cool, I have a few coming too",0
Ok. But try to get Jody to arrange a presentation day and time.  Susie may need to help.,0
"Oh cool, have you used it before?",0
"Mom is arguing with the nurse. Telling them not to piss her off, or she will not come back for the other eye.",0
Thats what he wanted.,0
"We'd have to sell ours, but maybe",0
Lol well I just wanted to stop by and talk for a few minutes ,0
Sounds good!,0
Oh dear. Community?  B there by 9,0
tecate isnt beer either,0
Kewl,0
Let's shoot for 11am,0
(RE:)Thats wats up n so do i mayb hf itr cool ill come thru 2nite ctz we gotta talk ne ways,0
Doesn't work on my phone either,0
k where u at,0
Made it safely. Thanks for checking on me,0
Are you on campus?,0
"Well, i don't know what you expect me to do. You said they were going to review it. I don't have it either. And i cannot borrow from anyone.",0
Would u like to join?,0
No hurry. Whenever you get a chance. I am here all day.,0
"gonna hang out with angie, gotta get my blow",0
Hope ur feeling better,0
Jeff and I?,0
And many more,0
Yes.,0
But u can tell it to fit in that size in page setup,0
Ok.,0
Did you get  at your ecopsy at your door,0
"us. Docs said yesterdAY that she May come home today, but nurse seems to think that isn't likely. Too much they still need to do before releasing her.  I still",0
"No prob, thanks for letting me know",0
Incoming,0
What time is the service for Tom tomorrow and is it at place where moms was?,0
(RE:)Cool here come im leavhn IPW now babe,0
Short. Quick study,0
"Yup, one minute",0
No worrys I'll look again for it,0
@ michigan ave now.,0
"It will just take time.  It is painful to walk, hopefully I'll feel better soon.",0
Almost there,0
Yes sir,0
oh shit I didn't know,0
Not a problem.,0
Turning on halstead off lake right now...,0
Doc just here. She is about the same. I need a smoke.  :)  no I haven't eaten since yesterday. They brought me a sandwich last might before I went to bed. I thi,0
Any news yet? Surgeon come by yet.,0
I have a butterfly in the office,0
Yep~she moved in with her mom.  Let's try to get together sometime.  lucy,0
"Me too, but there is still a lot of summer yet.",0
Maybe depends on if amber wants to,0
school cannot sell office any more. You have to buy online somewhere. I can ask Sara to get you one. I will let you know. Mac or pc?,0
We are here,0
"Hey sent Antonio at,pharmacy a message asking him to say hello to June in Chicago Indiana.  Hope he does it sometime especially when she's watching!",0
Good morning cindy. Hope u had a great holiday weekend. Could u text me the new pointers we discussed last week?,0
Im parked in the middle lane in front of Stracks. In a Red camero ,0
have to mess with it by adjusting one by one?,0
Yes.,0
take a hit on my bong later man,0
No,0
Yeah thanks for inviting me over had fun talk at u later,0
"That's fine, just making sure I know where it is",0
At mouse game. It's next to ferris wheel,0
pharmacy package came today.,0
Whatcha up to?,0
Thats exactly what iPanic does,0
Samantha Smith commented on your status:,0
"Sounds good, if not we can always garage it",0
Most likely yes,0
Surgery pushed back again. Looks like 2:00 pm.,0
His own fault. There was plenty for him to eat. He should have ssid something.,0
Wait up a bit. Sara is getting off soon and wants to tag along.,0
What tme is jim planng on havng us over,0
Amanda only has a two bedroom house.,0
Incoming,0
"Sorry cindy, forgot my reefer in my car.",0
"We are going to have dinner, be back in a while.",0
email@person.net,0
Ok. This little boy is in my grandson's class and thought maybe?,0
oic,0
Nice,0
Tomorrow lol,0
hey I got coke for tonight,0
Keep me posted and I hope all goes well~love you!,0
I will remotely send it soon,0
Ok,0
the lounge event tonight,0
"I will go to meeting,call. SEe you then.",0
it and I'm overdrawn again.  I think car dealer should paid everything plus pay the full $500 fee.  Finance Manager is so shady!  What do u think?,0
them NO!  Not after what shady shut they did to us and our account.,0
I am more worried about your house than homework.,0
R u there? Who else is there.,0
You still on vaca?,0
Ic I will hit up jim smith,0
But which cymbals?,0
Easier if I call?,0
I'm just leaving the city now. So I should be there by 1230-1,0
Plenty more in my stash no worries,0
"Ok, you eat yet?",0
Is your computer on?,0
Yes. Sometimes too feisty for her own good.,0
Congrats!,0
"Yeah, was it with that guy you had the good interview with who wanted you to start up a meth lab?",0
Ok,0
Off the respirator. Woo hoo.,0
I just signed up timmy for swim lessons.,0
Tell me when ready,0
I know how frustrating this is for you. Stay positive and focused. You will heal - on God's schedule.,0
I have two more classes and a final. This week wednesday and next week wednesday. I have a presentation due this week.,0
Yes indeed,0
Gotta finish writing quizzes for class I'm teaching then nothing later,0
He is not there yet either lol,0
Sure,0
Incoming,0
damn dude the ganja fairy must've visited you or sumthin,0
Ok,0
It literally dumped like a waterfall the first time,0
their pizzas.,0
Call when u can to work out details,0
fine.,0
I know that how much?,0
everything is GREAT. will u n at reuion Sat,0
"yes, we have to wait to hear back from grandma and grandpa as to what time the party is tomorrow to determine when they have to be home.",0
Cool u said u will be there around 8?,0
Ur done go share stds with tim and Jessica so ur step dad can rap u again keep it all in the family dont wory wont bother ur ,0
Do you want to use my vehicle while i am gone?,0
Incoming,0
To do what?,0
By the dancers,0
Sure,0
Nope. Just got home,0
Ok sounds good,0
Your password is password123,0
We r making dinner for everyone tonier,0
Off and on.,0
they were suppose to but apparently the government did some update to the system and they havent swept any loans as of yet. I told you this before.,0
U only see the icon,0
Need your input. Short version.... Finance Manager at dealership told us he would hold a check because paperwork was held up and didn't get finalized with the,0
Someone has big boy undies on,0
I will be later,0
Ok,0
Chair there yet.,0
No dice,0
You got a minute.what is the app for iphone like google sky,0
K,0
I'm not feeling great,0
"Susie needs prof smith's key returned soon. Also, come by my office and swap out monitor with one in rm 50 please.",0
At ER with Bob. Split eye lid open.,0
Nice,0
Where should we meet?,0
Ha ha! Is it monday?,0
I will be late butI'll be there ,0
I also about an hour ago. It is getting worse.,0
Okay,0
I love you like you were my sister if I had one.  I will be holding you in my heart today.  lucy,0
U still had old antivirus installed which isn't good so I got rid of that,0
Linda Nunez Wall post:,0
Indeed,0
Your hot wings are cold now.,0
We are going to Livios at 730 if you and amber wanted to join. :),0
"Ummm, is that what you are doing right now?",0
"Sorry, just got your text. My phone locked up and i had to do a hard reboot.",0
Sure,0
Can you please send me your comcast email address so i can set up your logmein software?,0
What u up to tnght,0
Bonfire. My place. Right now.,0
Then grammar and style?,0
K,0
No prob,0
Almost,0
Lol we'll see,0
Is there a safe way I can get Jenny's computer to not boot correctly or something (need a reason to get it away from her so you can work on it since it,0
Incoming,0
"I took care of it. In the future, please refrain from.sending me text.message like this during work, save them for after work please.",0
Busy busy baby but at least time is goin by fast i cant wait 2 c u ,0
Okay have a good weekend and holiday I'll see you Tuesday,0
"Yeah I'll bring it with, it'll be a long lunch",0
(1/2)Can you call pharmacy and ask about the pans. It looks like there are areas where the coloring might be botched. You'd have to ask adam for specific details but,0
Let me call you.,0
"Nobody came lol, what u guys doing?",0
Ok,0
At mouse game. It's next to ferris wheel,0
"Who sent it, jim?",0
Please,0
I will tell mom u send love and prayers. I love u too so much.,0
Might be that reason why Tom's email will send out those odd emails to everyone,0
I will ask mom.,0
"Dinner would b great. Have to get back to u on night and time. Saturday probably best for me, what about u? Will explain hospital stuff at dinner. Too long to w",0
555-1212 grandma j,0
Not quite all of them,0
Incoming,0
Now.,0
Tell he to approve me,0
I was dropping them off on my way to my party.,0
Smile be grateful love your wife then your family. Think smart. We choose love. Faith~hope~love.,0
Just now waking up... Lol. We got in late,0
I'm back from training what the word on the lap top miguel,0
"(2/2) lassrooms.  Will a library carry a specialized rating scale like that?  I figured school would because they have a lab school, but apparently not..",0
"Ten bucks, I think",0
Lol. I like it though. We have our own language...always have,0
*raining,0
sweet. Cue overdramatics,0
Out,0
You need to send request to hostmaster asking for VPN access.,0
I love you dad smile,0
Thanks brother ,0
that kinda crap is happening a lot nowadays with those bath salts,0
I will be in a meeting until 4 in case anyone is looking for me,0
"No, i don't mind. He just better not be no undercover cop",0
Excellent!  You rock!!!!,0
Thx,0
Ok.,0
for u or for someone else?,0
Thx,0
Kewl,0
Seen timmy for 15 min. THen his mom called.,0
Samantha Smith commented on your status:,0
"She had a chemo treatment, needed blood, and when she gets these transfusions, her lungs fill up with fluid and she ends up in the hospital unable to breathe. Apparently, she coded yesterday morning.",0
Bob Doe is victim (deceased),0
I forgot that school stopped. I need a copy for pc,0
Lol ok thanks,0
Incoming,0
At beer festival,0
By the music and dancers,0
"You can come on campus to remove anything that is yours from the office and sign your time card any time after 9:30 am today. If you have in your possession anything that belongs to the university, you are to bring it with you at that time.",0
Yes,0
"Ha, might have to, want me to?",0
You would need to add it to the login items under her user acct so it comes up whenever she starts the computer ,0
U want to have a fire tnght,0
And I may not be going anyways,0
Your late. Already been to aunt marys and church.,0
Ok I'll give that a shot thank u,0
I sent the results to bill in June ,0
" Ready for beer, looks like 6 guys for sure, maybe 8",0
"Cool, we're down :)",0
"S'mores, chips",0
No,0
"Yes dear, it is wednesday.",0
its gonna take more than some pot to get me to come over,0
I think just us,0
Where you at?,0
K,0
So it not my bus. You cant ans.,0
Which hospital? What's her name. I would like to send her a little flower arrangement if you think it would be ok!,0
Did you send me the email for encryption?,0
"I don't think we will have time, we work today then tonight go to her parents, and we still need to pack",0
Nope not now sorry. I gotta fix mike's guitar teacher's computer lol,0
"Agreed.  I plan on being here until next weekend.  I will drive home on Saturday, I think.",0
Ok heading over there,0
"We just left, we attended already lol",0
Yeah,0
Do you still want me to place your order?,0
"Was thinking of going to bdubs later, like after 9 or so",0
Timesheets!!,0
Yes. Like a dummy.,0
Can I have the account number and routing number???,0
Sorry about that,0
Exit 70 exit 55 to Chicago.,0
Got it!  Look forward to working with you!,0
No. I was at work until 7:15.,0
"I am going there to fix ur dads around 1, so somewhere between 1 and 4",0
Hey mama...hope your day goes better today then yesterday!!!!,0
It would take me that to walk there,0
Not bad. Just talking with people.,0
we can hang out somewhere else instead of ur house if me bringing shrooms freaks u out or anything,0
Kewl,0
Soup anyone?,0
That's cool. Let me know. I've got some wine and the porch is open.,0
How did u get passed the data loss when you try to print it out on the plotter,0
So class is cancelled?,0
Sounds good,0
Putting apontment in to formally speak with you,0
Hey you awake yet?,0
I have another woman saying she has a pair that are 5 yrs old for $300. Wanting to look at those too.,0
I will call u later when I know what's going on,0
I probably need to stop txting now and pay attention,0
Happy labor day,0
Take five min and call me. Dad today?,0
OK. Still jumping with reckless abandon,0
No package was delivered before we left. It is raining here.,0
Roger Jimbarn commented on your status:,0
Awwwwww why?!?!,0
"Lol, sounds good, i'll bring some pilz",0
Hey sorry was busy,0
U guys up to anything tonight?,0
That's good!,0
You in town?,0
U can come at 8:30 if u want,0
Thanks,0
nly Michelle A. Is cing up so after she leaves I will head home for sleep and food.,0
Outgoing,0
?,0
Koo,0
Borders has nothing left lol,0
She now chewed one of the crocs shoes I bought for myself but ended up giving to you. I think she is pissed at you.,0
ry running this application again.  That is the same message that I received over the weekend.  Is it possible that The computer must be on our school netw,0
What's the deal for tonight?,0
Busy busy baby but at least time is goin by fast i cant wait 2 c u ,0
No worries. At hospital. Waiting for visiting hours to start,0
Thanks! Happy Easter to U too!,0
Not sure yet,0
"Hey its miguel, was wondering if u where gonna  be in the office today my computer is really acting up was wondering if I could have u look at it",0
Hey could u pick up that crack today by chance?,0
"I am at work till around 4/5, then class starts at 6:30",0
Are you still thinking of coming out tonight?,0
I had cash for it set aside...I wish you would have said something...I only gave him $5,0
We have arrived at jump. Samantha wanted me to let you know,0
nose candy please,0
He's so happy.,0
hey do u need some chiva?,0
Oh ok.thanks for.letting us know.keep us up dated.tell her get better and we love her.call if u need.anything.,0
Be there soon.,0
"Stopped and checked on my laptop tday. New hard drive arrived moments before me. Not sure if they can get my photos off or not, will only stay running for a few minutes .",0
Going to hardware store.,0
"James, why?",0
Amber is working midnight shift so she goes to work at 10:30pm,0
Hey ma...we are down early cuz of the weather,0
8 ball blow run u 85,0
Sara needs to call.me.,0
Joe popped my balloon today,0
"I forgot to ask: I don't have admin rights on the little computer, in case one of us remembers on Monday :P",0
I was so looking forward to tonight.,0
730 tonight who's in who's out,0
"Not bad, but nothing to rave about lol. Tastes like Killians",0
Sweet! Thanks man!,0
But I would like to meet up with you sometime in the next few days just to talk and get some guidance ,0
Well I guess I have a project for tomorrow.,0
You have some free time today?,0
Outgoing,0
"smoke breaks, rastafarian style",0
Like my laptop recovery?,0
Today is Billy's bday,0
Sending a hug for Amanda.  Hang in there!,0
Incoming,0
Theyr pretty torn up,0
That is my building.  The tall building.,0
I guess i can eat the starburst i got 4 u yesterday  enjoy ur day of rest luv barbara,0
Hello this is Susie here is my permanent number to get in contact with me,0
Not raining at all here,0
Tried calling u the other day,0
Were you. And or mom coming the pizzas are due anytime?,0
We are stopping at 40,0
K no prob,0
Traffic was awesome coming into cafeteria now,0
Yes,0
Dont care. I did not like them anyways. We are going to get an elephant ear for dessert.,0
go snort a line,0
Sounds good. Thanks,0
Mark had heart attact. Is in ICU in Wheaton,0
Anyone need some smack?,0
Whatcha up to?,0
"No worried about the cost, it is  only a one credit course. I just don't like the no pass option attached to it.",0
Rachel Tanner commented on your status:,0
Happy Easter,0
Everybodys is doing the same thing. The warning is not poping up.,0
Papa didn't make it?!?! Oh no!!!,0
"Stomach,did not know that part.",0
Services at funeral homes saturday from 3 - 8 pm. Posted on his page.,0
Do u wanna coordinate with Joe? He said u can hit him up ,0
"U gonna be there awhile, and if so, which bdubs?",0
I am gonna skip class,0
"Not sure, approximately an hour I think. Training there?",0
mr. smith took my vikes in study hall!,0
:( they both are red in the underwear area. I have to take them to the doctor tomorrow.,0
Just woke up sorry,0
(RE:)Cool here come im leavhn IPW now babe,0
He should be entered as a regular entity ,0
"Any time, just doing homework and chillin",0
What is ur apt #?,0
You free Monday night?,0
We r gonna head up later,0
Love you more.giving lessons on how to talk on phone.,0
Hay ma do you need me to come homeÄandrew is dropping me off at Sara work and Sara will be taking me home...,0
"no no man I don't care, I just won't be hitting em",0
Just got done with the picnic tables.I'm not moving to far from the house. Thanks anyways.,0
I'm home,0
Can you get a version of office 2012 for me from school. Cheapest way possible.,0
K,0
"Or dr pepper, so long as it is diet",0
"We should pop pilz some night and go hang out with her, but maybe not since her mom is home",0
I have someone interested in the hutch. Willing to separate?,0
"Happy Mother's day to you as well Cindy, and Thank you",0
I would appreciate it is you would talk with your daughter about stirring shit up again.  I asked her to please send out an item my friend ordered a mon,0
Sorry just got home hun. Uugghh I need a joint soo bad. Hows ur head?,0
We are expecting some heavy snow - possible 6+ inches in cook and will starting today and ending early saturday.,0
Ok thats cool,0
Ok,0
the wacky terbacky of course!,0
Are you off yet?,0
Bonnie raitt total eclipse of the heart parody,0
Thanks.,0
Yeah 10;30,0
Incoming,0
Ok,0
Maybe smack l8r?,0
I am ok. Things are busy. Nothing new. Glad you are ok. Miss you bunches.,0
Aunt sheila died 9 a.m call aunt mary tomarrowand,0
bs,0
Count me in for food today,0
"I have answered that question 5 times, go back and read the old text messages",0
Cool,0
Just about ,0
K see u in a few,0
"I got some X at that rave, I was rolling",0
"Sorry, I do not.",0
7735551212 cindy smith,0
You guys wanna have dinner at chic fil a?,0
How do spell mindys name,0
"Probably will have sitdown with u and michelle tonight too if she comes also, FYI",0
"Yeah, they dont have any fiber optics stuff I guess, so I have to use ATT. Is 6 the fastest speed for dsl?",0
no way man I got my own herb,0
They are keeping her mom.,0
Ok,0
that sucks! :(,0
My buddy Jim,0
Where do you want to meet at? I will be ready to walk out in 15 minutes.,0
Ok but can u text me in a few days to remind me?,0
"Error Invalid Number. Please re-send using a valid 10 digit mobile number or valid short code. Long time, no communication. Is everything ok with y",0
Are you done?,0
Wishing you a happy new year!  Looking forward to scrapping with you next year!  Happy b~day to your mom!  Love you!  lucy,0
Is ted's dad bringing the prostitutes and the powder?,0
"Tom suffered a micro tear in his stomach by the esophogius. As long as he does not do anything to cause it to bleed again, they are planning on letting it heal itself. He is also off the ventilater. Sorry cannot spell.",0
Send us the recipe,0
Oh wow.,0
Amanda has someone lined up to move in with her. Waiting for their lease to end first.,0
Happy birthday!,0
"Jenny's having some ppl over tonight for dinner and drinks, u and amber are welcome to come by!",0
(RE:)Im still n gas city im waitn on my bro 4 sumthin rdal quick i do miss u sexy,0
"Yes, I know you can sell enough dope to pay me back",0
Sure. Sounds good. I rhink the kids will like this show. Only 45 minutes long so we won't be out late.,0
"Cool, I will be there",0
4pm? We can meet at a coffee shop or at my house,0
the real tecate?,0
Haha she says she's been running up a sleep deficit for the whole week I don't think thats an option for her,0
Will call in a few,0
I might need to renig,0
Hey any idea when u will pick up? We want to get rid of it today. If I don't hear from u soon amber is gonna see if anyone else wants it,0
"i was just gonna tell you, adam's parents came up and offered to hang with the kids today, is it ok if they do that? I can bring them to see you tomorro",0
That is ok. Jack called off and Al is out as well. Everything is pretty quiet.,0
Hmmm I think I am going to stay home I'm already in pajamas and comfortable thank you though,0
